period,first_of_month_prior12,first_of_month,period_name,Days_In_Last_3_Months,qtr,first_of_month_prior6,qtr_name,first_of_month_prior3,month_end,periodkey,days_in_month,month_end_prior6,fyyear,
3.0,2019-04-01 00:00:00.0,2020-03-01 00:00:00.0,March-2020,91,1.0,2019-10-01 00:00:00.0,1ST QUARTER - 2020,2020-01-01 00:00:00.0,2020-03-31 00:00:00.0,202003,31.0,2019-10-31 00:00:00.0,2020.0,
4.0,2019-05-01 00:00:00.0,2020-04-01 00:00:00.0,April-2020,90,2.0,2019-11-01 00:00:00.0,2ND QUARTER - 2020,2020-02-01 00:00:00.0,2020-04-30 00:00:00.0,202004,30.0,2019-11-30 00:00:00.0,2020.0,
5.0,2019-06-01 00:00:00.0,2020-05-01 00:00:00.0,May-2020,92,2.0,2019-12-01 00:00:00.0,2ND QUARTER - 2020,2020-03-01 00:00:00.0,2020-05-31 00:00:00.0,202005,31.0,2019-12-31 00:00:00.0,2020.0,
6.0,2019-07-01 00:00:00.0,2020-06-01 00:00:00.0,June-2020,91,2.0,2020-01-01 00:00:00.0,2ND QUARTER - 2020,2020-04-01 00:00:00.0,2020-06-30 00:00:00.0,202006,30.0,2020-01-31 00:00:00.0,2020.0,
7.0,2019-08-01 00:00:00.0,2020-07-01 00:00:00.0,July-2020,92,3.0,2020-02-01 00:00:00.0,3RD QUARTER - 2020,2020-05-01 00:00:00.0,2020-07-31 00:00:00.0,202007,31.0,2020-02-29 00:00:00.0,2020.0,
8.0,2019-09-01 00:00:00.0,2020-08-01 00:00:00.0,August-2020,92,3.0,2020-03-01 00:00:00.0,3RD QUARTER - 2020,2020-06-01 00:00:00.0,2020-08-31 00:00:00.0,202008,31.0,2020-03-31 00:00:00.0,2020.0,
9.0,2019-10-01 00:00:00.0,2020-09-01 00:00:00.0,September-2020,92,3.0,2020-04-01 00:00:00.0,3RD QUARTER - 2020,2020-07-01 00:00:00.0,2020-09-30 00:00:00.0,202009,30.0,2020-04-30 00:00:00.0,2020.0,
10.0,2019-11-01 00:00:00.0,2020-10-01 00:00:00.0,October-2020,92,4.0,2020-05-01 00:00:00.0,4TH QUARTER - 2020,2020-08-01 00:00:00.0,2020-10-31 00:00:00.0,202010,31.0,2020-05-31 00:00:00.0,2020.0,
11.0,2019-12-01 00:00:00.0,2020-11-01 00:00:00.0,November-2020,91,4.0,2020-06-01 00:00:00.0,4TH QUARTER - 2020,2020-09-01 00:00:00.0,2020-11-30 00:00:00.0,202011,30.0,2020-06-30 00:00:00.0,2020.0,
12.0,2020-01-01 00:00:00.0,2020-12-01 00:00:00.0,December-2020,92,4.0,2020-07-01 00:00:00.0,4TH QUARTER - 2020,2020-10-01 00:00:00.0,2020-12-31 00:00:00.0,202012,31.0,2020-07-31 00:00:00.0,2020.0,
1.0,2015-02-01 00:00:00.0,2016-01-01 00:00:00.0,January-2016,92,1.0,2015-08-01 00:00:00.0,1ST QUARTER - 2016,2015-11-01 00:00:00.0,2016-01-31 00:00:00.0,201601,31.0,2015-08-31 00:00:00.0,2016.0,
2.0,2015-03-01 00:00:00.0,2016-02-01 00:00:00.0,February-2016,91,1.0,2015-09-01 00:00:00.0,1ST QUARTER - 2016,2015-12-01 00:00:00.0,2016-02-29 00:00:00.0,201602,29.0,2015-09-30 00:00:00.0,2016.0,
3.0,2015-04-01 00:00:00.0,2016-03-01 00:00:00.0,March-2016,91,1.0,2015-10-01 00:00:00.0,1ST QUARTER - 2016,2016-01-01 00:00:00.0,2016-03-31 00:00:00.0,201603,31.0,2015-10-31 00:00:00.0,2016.0,
4.0,2015-05-01 00:00:00.0,2016-04-01 00:00:00.0,April-2016,90,2.0,2015-11-01 00:00:00.0,2ND QUARTER - 2016,2016-02-01 00:00:00.0,2016-04-30 00:00:00.0,201604,30.0,2015-11-30 00:00:00.0,2016.0,
5.0,2015-06-01 00:00:00.0,2016-05-01 00:00:00.0,May-2016,92,2.0,2015-12-01 00:00:00.0,2ND QUARTER - 2016,2016-03-01 00:00:00.0,2016-05-31 00:00:00.0,201605,31.0,2015-12-31 00:00:00.0,2016.0,
6.0,2015-07-01 00:00:00.0,2016-06-01 00:00:00.0,June-2016,91,2.0,2016-01-01 00:00:00.0,2ND QUARTER - 2016,2016-04-01 00:00:00.0,2016-06-30 00:00:00.0,201606,30.0,2016-01-31 00:00:00.0,2016.0,
7.0,2015-08-01 00:00:00.0,2016-07-01 00:00:00.0,July-2016,92,3.0,2016-02-01 00:00:00.0,3RD QUARTER - 2016,2016-05-01 00:00:00.0,2016-07-31 00:00:00.0,201607,31.0,2016-02-29 00:00:00.0,2016.0,
8.0,2015-09-01 00:00:00.0,2016-08-01 00:00:00.0,August-2016,92,3.0,2016-03-01 00:00:00.0,3RD QUARTER - 2016,2016-06-01 00:00:00.0,2016-08-31 00:00:00.0,201608,31.0,2016-03-31 00:00:00.0,2016.0,
